STATUS,IP ADDRESS,MODEL,SERIAL,LLDP,PORT,ZONE
Online,172.19.250.18,AP-518,PHQRKV100Q,H3C,GigabitEthernet1/0/2 Interface,IDF-02 - AP08
Online,172.19.250.21,AP-518,PHQRKV100X,H3C,GigabitEthernet1/0/12 Interface,IDF-03 - AP11
Online,172.19.250.11,AP-518,PHQRKV101C,H3C,GigabitEthernet1/0/6 Interface,IDF-03 - AP05
Online,172.19.250.22,AP-518,PHQRKV101H,H3C,GigabitEthernet1/0/14 Interface,IDF-03 - AP13
Online,172.19.250.17,AP-518,PHQRKV101S,H3C,GigabitEthernet1/0/4 Interface,IDF-03 - AP03
Online,172.19.250.13,AP-518,PHQRKV1022,H3C,GigabitEthernet1/0/13 Interface,IDF-03 - AP12
Online,172.19.250.20,AP-518,PHQRKV1026,H3C,GigabitEthernet1/0/11 Interface,IDF-03 - AP10
Online,172.19.250.12,AP-518,PHQRKV102B,H3C,GigabitEthernet1/0/10 Interface,IDF-03 - AP09
Online,172.19.250.15,AP-518,PHQRKV102M,H3C,GigabitEthernet1/0/7 Interface,IDF-03 - AP06
Online,172.19.250.16,AP-518,PHQRKV1030,H3C,GigabitEthernet1/0/9 Interface,IDF-03 - AP08
Online,172.19.250.19,AP-518,PHQRKV103H,H3C,GigabitEthernet1/0/15 Interface,IDF-03 - AP14
Online,172.19.250.10,AP-518,PHQRKV103W,H3C,GigabitEthernet1/0/5 Interface,IDF-03 - AP04
Online,172.19.250.14,AP-518,PHQRKV104L,H3C,GigabitEthernet1/0/8 Interface,IDF-03 - AP07
Online,172.19.250.8,AP-518,PHQRKV104P,H3C,GigabitEthernet1/0/3 Interface,IDF-03 - AP02
Online,172.19.250.33,AP-518,PHQRKV1056,H3C,GigabitEthernet1/0/16 Interface,IDF-03 - AP15
