STATUS,IP ADDRESS,MODEL,SERIAL,LLDP,PORT,ZONE
Online,172.19.250.25,AP-518,PHQRKV1004,IDF_01,GigabitEthernet1/0/6 Interface,IDF-01 - AP05
Online,172.19.250.9,AP-518,PHQRKV100B,IDF_01,GigabitEthernet1/0/7 Interface,IDF-01 - AP06
Online,172.19.250.23,AP-518,PHQRKV100C,IDF_01,GigabitEthernet1/0/13 Interface,IDF-01 - AP12
Online,172.19.250.24,AP-518,PHQRKV100V,IDF_01,GigabitEthernet1/0/5 Interface,IDF-01 - AP04
Online,172.19.250.7,AP-518,PHQRKV100W,IDF_01,GigabitEthernet1/0/12 Interface,IDF-01 - AP11
Online,172.19.250.26,AP-518,PHQRKV101B,IDF_01,GigabitEthernet1/0/4 Interface,IDF-01 - AP03
Online,172.19.250.27,AP-518,PHQRKV101P,IDF_01,GigabitEthernet1/0/11 Interface,IDF-01 - AP10
Online,172.19.250.40,AP-518,PHQRKV1029,IDF_01,GigabitEthernet1/0/3 Interface,IDF-01 - AP02
Online,172.19.250.31,AP-518,PHQRKV102D,IDF_01,GigabitEthernet1/0/10 Interface,IDF-01 - AP09
Online,172.19.250.42,AP-518,PHQRKV102Y,IDF_01,GigabitEthernet1/0/2 Interface,IDF-01 - AP01
Online,172.19.250.32,AP-518,PHQRKV103M,IDF_01,GigabitEthernet1/0/9 Interface,IDF-01 - AP08
Online,172.19.250.41,AP-518,PHQRKV103S,IDF_01,GigabitEthernet1/0/8 Interface,IDF-01 - AP07
