STATUS,IP ADDRESS,MODEL,SERIAL,LLDP,PORT,ZONE
Online,172.19.250.28,AP-515,CNNSKD5CWW,SW_PRINCIPAL,GigabitEthernet1/0/10 Interface,IDF-04 - AP07
Online,172.19.250.51,AP-515,CNQGKD5B5Q,SW_PRINCIPAL,GigabitEthernet1/0/14 Interface,IDF-04 - AP11
Online,172.19.250.50,AP-518,PHQRKV100G,SW_PRINCIPAL,GigabitEthernet1/0/13 Interface,IDF-04 - AP10
Online,172.19.250.45,AP-518,PHQRKV102T,SW_PRINCIPAL,GigabitEthernet1/0/5 Interface,IDF-04 - AP02
Online,172.19.250.48,AP-518,PHQRKV103F,SW_PRINCIPAL,GigabitEthernet1/0/11 Interface,IDF-04 - AP08
Online,172.19.250.47,AP-518,PHQRKV103T,SW_PRINCIPAL,GigabitEthernet1/0/6 Interface,IDF-04 - AP03
Online,172.19.250.30,AP-515,PHR6LBN0WG,SW_PRINCIPAL,GigabitEthernet1/0/7 Interface,IDF-04 - AP04
Online,172.19.250.53,AP-515,PHR6LBN1DL,SW_PRINCIPAL,GigabitEthernet1/0/9 Interface,IDF-04 - AP06
Online,172.19.250.54,AP-515,PHR6LBN202,SW_PRINCIPAL,GigabitEthernet1/0/8 Interface,IDF-04 - AP05
Online,172.19.250.49,AP-518,PHRRKV104K,SW_PRINCIPAL,GigabitEthernet1/0/12 Interface,IDF-04 - AP09
Online,172.19.250.46,AP-518,PHRRKV104W,SW_PRINCIPAL,GigabitEthernet1/0/4 Interface,IDF-04 - AP01
